Participant_ID,User Valence,User Arousal,Video Type,HRV_RMSSD,HRV_MeanNN,HRV_SDNN,HRV_SDSD,HRV_CVNN,HRV_CVSD,HRV_MedianNN,HRV_MadNN,HRV_MCVNN,HRV_IQRNN,HRV_pNN50,HRV_pNN20,HRV_TINN,HRV_HTI,HRV_VHF,peak_number,peak_amplitude,signal_power,med_abs_dev,band_power,rms,Label_1
P1,6.0,9.0,CP4,866.8333173107734,1238.4,648.2262979340883,885.4622963519505,0.5234385480733916,0.6999623040300172,1240.0,770.952,0.6217354838709678,920.0,88.0,88.0,78.125,8.333333333333334,0.0083156455776141,6.0,0.0001310864791044,0.0015789967483818,0.1343502467999998,0.0018047914391538,1.780252169048913,1
P1,6.0,9.0,CP4,739.9099044253068,1230.4,655.6706490304412,753.857711557932,0.5328922700182389,0.6013572045069138,1120.0,770.952,0.68835,1160.0,92.0,96.0,0.0,12.5,0.0063480938725123,6.0,0.0001310864791044,0.0015789967483818,0.1343502467999998,0.0018047914391538,1.780252169048913,1
P1,6.0,9.0,CP4,942.7065567682836,1251.6666666666667,621.3006460270448,963.3013065051996,0.4963786785835244,0.7531610307070175,1160.0,563.3879999999999,0.4856793103448275,810.0,95.83333333333334,95.83333333333334,554.6875,12.0,0.0052775973786677,6.0,0.0001310864791044,0.0015789967483818,0.1343502467999998,0.0018047914391538,1.780252169048913,1
P1,6.0,9.0,CP4,753.5352577121953,1128.888888888889,517.9050502028737,768.3284554047282,0.4587741586442778,0.6675017046663148,1040.0,474.432,0.4561846153846153,580.0,85.18518518518519,88.88888888888889,562.5,4.5,0.0122162349694642,6.0,0.0001310864791044,0.0015789967483818,0.1343502467999998,0.0018047914391538,1.780252169048913,1
P1,8.0,6.0,EN4,1197.051934267404,1222.4,886.6476188430215,1222.6794050511492,0.7253334578231524,0.979263689682104,960.0,711.6479999999999,0.7413,840.0,92.0,96.0,78.125,6.25,0.0008694182789172,10.0,0.0010436129585838,0.0003602306788015,0.976047471,0.0380252630738293,3.642466062226227,4
P1,8.0,6.0,EN4,773.6459138391413,1101.5384615384614,542.7315528523641,789.3558555345406,0.4927032253547998,0.7023321843511758,1100.0,563.3879999999999,0.512170909090909,760.0,88.46153846153845,92.3076923076923,1156.25,8.666666666666666,0.0058694133396089,10.0,0.0010436129585838,0.0003602306788015,0.976047471,0.0380252630738293,3.642466062226227,4
P1,8.0,6.0,EN4,853.6978388165218,1302.608695652174,583.6345166385019,871.8810832771998,0.448050530129691,0.6553755104399199,1280.0,355.824,0.2779874999999999,500.0,91.30434782608695,95.65217391304348,1000.0,7.666666666666667,0.0045838175048273,10.0,0.0010436129585838,0.0003602306788015,0.976047471,0.0380252630738293,3.642466062226227,4
P1,8.0,6.0,EN4,880.1239582116724,1339.1304347826087,660.673988119008,899.2175530939151,0.4933604456732851,0.6572354233398852,1240.0,770.952,0.6217354838709678,1040.0,91.30434782608695,95.65217391304348,39.0625,7.666666666666667,0.0064372403160711,10.0,0.0010436129585838,0.0003602306788015,0.976047471,0.0380252630738293,3.642466062226227,4
P1,8.0,6.0,EN4,656.6807669100943,1080.0,461.8802153517006,668.6977606936449,0.4276668660663894,0.6080377471389763,1120.0,622.692,0.555975,700.0,96.42857142857144,96.42857142857144,476.5625,9.333333333333334,0.0623171992089056,10.0,0.0010436129585838,0.0003602306788015,0.976047471,0.0380252630738293,3.642466062226227,4
P1,8.0,6.0,EN4,786.6807908336561,1177.6,528.4038859307024,802.6459865408566,0.4487125390036535,0.6680373563465152,1240.0,770.952,0.6217354838709678,680.0,88.0,88.0,1437.5,8.333333333333334,0.0401045823802375,10.0,0.0010436129585838,0.0003602306788015,0.976047471,0.0380252630738293,3.642466062226227,4
P1,8.0,6.0,EN4,1107.859368761388,1374.5454545454545,682.5772398136993,1135.176092905749,0.4965839707639347,0.8059823449983643,1360.0,622.692,0.4578617647058823,860.0,90.9090909090909,95.45454545454544,0.0,11.0,0.0011786681460178,10.0,0.0010436129585838,0.0003602306788015,0.976047471,0.0380252630738293,3.642466062226227,4
P1,7.0,3.0,EP4,900.2044212288673,1167.6923076923076,585.6982683416961,918.6744073210411,0.5015861323084354,0.7709260524357889,1140.0,741.3,0.6502631578947368,990.0,80.76923076923077,92.3076923076923,476.5625,8.666666666666666,0.0406907926089327,6.0,0.0001437512044838,0.0002425044006474,0.1678481112000001,0.0016624320546268,1.4938041733160603,3
P1,7.0,3.0,EP4,944.6390089038548,1341.8181818181818,697.2847772654014,960.8567605453552,0.5196566768238087,0.7039992613782116,1200.0,681.996,0.56833,920.0,95.45454545454544,95.45454545454544,718.75,11.0,0.0030918812189452,6.0,0.0001437512044838,0.0002425044006474,0.1678481112000001,0.0016624320546268,1.4938041733160603,3
P1,7.0,3.0,EP4,1866.4009835989016,1490.0,1137.4486685930976,1916.9542118403344,0.763388368183287,1.2526181097979203,1520.0,1008.168,0.6632684210526315,1080.0,95.0,95.0,320.3125,6.666666666666667,0.000779143161205,6.0,0.0001437512044838,0.0002425044006474,0.1678481112000001,0.0016624320546268,1.4938041733160603,3
P1,7.0,3.0,EP4,739.8498346136043,1071.428571428571,477.8169050054578,752.6712164776598,0.4459624446717606,0.6905265123060308,1000.0,504.084,0.504084,600.0,96.42857142857144,96.42857142857144,195.3125,9.333333333333334,0.0648062990388934,6.0,0.0001437512044838,0.0002425044006474,0.1678481112000001,0.0016624320546268,1.4938041733160603,3
